,GPA_HIGHSCHOOL,Prior_Hours,ReFirstMathCrs,ReFirstMathCrsGrade,UWFHour1stTerm,UWFGPA1stTerm,Drop1stYear
542,3.3,0,MAC1147,Failed,8,1.5,Dropped
543,3.74,79,MAC2311/UP,C_range,13,2,Retained
544,3.44,7,MAC1105/C,B_range,14,2,Dropped
545,3.2,14,MAC1147,Failed,13,1.546153846,Dropped
546,3.65,9,MAC1147,B_range,14,2.771428571,Retained
547,4.54,39,MAC2311/UP,A_range,15,3.94,Retained
548,4.59,29,MAC2311/UP,A_range,12,3.825,Dropped
549,2.81,4,MAC1105/C,Withdrawn,6,0.5,Dropped
550,4.38,77,MAC1140/14,B_range,14,3.107142857,Retained
551,3.46,12,MAC2311/UP,Failed,14,2.128571429,Dropped
552,4.03,44,MAC1140/14,B_range,14,3.421428571,Retained
553,3.39,10,MAC1147,C_range,11,1.927272727,Retained
554,3.51,0,MAC1147,A_range,14,4,Retained
555,2.89,0,MAC1105/C,Failed,7,0,Dropped
556,3.18,23,MAC2311/UP,Failed,14,1.828571429,Retained
557,2.83,4,MAC1147,A_range,11,1.454545455,Dropped
559,3.22,21,MAC2311/UP,C_range,13,2.692307692,Retained
560,3.19,6,MAC1105/C,B_range,12,3.141666667,Retained
561,3.5,9,MAC1147,C_range,14,2.021428571,Dropped
562,3.94,18,MAC1147,Withdrawn,8,3.2375,Retained
563,3.55,16,MAC2311/UP,Withdrawn,9,1.9,Dropped
564,4.48,24,MAC2311/UP,C_range,12,3.041666667,Retained
565,4.51,40,MAC1147,C_range,13,3.084615385,Retained
566,3.59,0,MAC1147,C_range,13,2.323076923,Retained
567,3.46,0,MAC1105/C,B_range,13,3.392307692,Dropped
568,3.92,26,MAC1147,B_range,12,3.108333333,Retained
569,3.34,4,MAC1147,Failed,11,0.472727273,Dropped
570,3.66,18,MAC2311/UP,Failed,7,0.857142857,Dropped
571,4.25,6,MAC1147,C_range,15,2.74,Dropped
572,4.32,60,NoAttempt,NoAttempt,12,2.983333333,Retained
573,3.07,0,MAC1147,C_range,14,2.364285714,Retained
574,3.27,0,MAC1147,Withdrawn,7,1.828571429,Retained
575,4.53,28,MAC1147,A_range,14,4,Retained
576,3.45,9,MAC1105/C,B_range,9,2.9,Retained
577,3.71,7,MAC2311/UP,C_range,14,2.928571429,Retained
578,4.05,3,MAC1147,Withdrawn,6,2.65,Retained
579,4.28,3,MAC1147,B_range,14,3.428571429,Retained
580,4.23,39,NoAttempt,NoAttempt,14,3.85,Retained
581,2.91,7,MAC1147,Failed,12,2.283333333,Retained
582,3.5,0,MAC1105/C,Withdrawn,6,0,Dropped
583,3.66,6,NoAttempt,NoAttempt,13,2.538461538,Retained
584,3.8,0,NoAttempt,NoAttempt,3,0,Dropped
585,4.38,28,MAC2311/UP,Failed,11,0.754545455,Retained
586,4.25,22,MAC1147,C_range,12,2.683333333,Retained
